"","candidate.id","R30","R31","R32","R33","R34","R35","R36","R37","R38","R39","R40","R41","long"
"68",252799,1,2,2,1,1,1,1,1,1,1,4,2,7
"69",252800,2,2,5,1,2,5,2,5,2,2,5,4,2
"70",252802,2,1,4,1,1,4,2,1,4,4,2,3,2
"71",252806,2,3,5,1,1,5,1,1,5,1,1,1,3
"72",252809,1,2,5,1,1,6,2,1,2,1,1,2,2
"73",252810,2,2,4,1,1,4,2,1,3,2,2,2,3
"74",252815,3,2,5,1,1,4,2,1,1,2,4,2,2
"75",252819,2,2,4,1,1,2,1,1,1,1,4,2,4
"76",252823,5,4,5,2,2,4,4,2,4,5,2,4,2
"77",252826,4,1,5,1,1,4,1,1,4,4,3,1,2
"78",252832,1,1,4,1,1,5,3,1,3,2,1,2,2
"79",252838,1,1,1,1,1,2,1,1,2,1,1,2,5
"80",252845,1,1,1,1,1,6,2,1,6,2,2,5,5
"81",252846,1,1,2,1,1,2,1,1,1,1,1,1,6
"82",252847,1,1,5,1,1,5,1,1,1,1,1,1,6
"83",252849,1,1,6,1,1,6,1,1,1,1,1,1,6
"84",252858,2,2,5,1,1,4,2,2,2,2,2,3,5
"85",252865,2,3,5,1,1,4,1,1,1,1,1,1,6
"86",252872,1,1,5,1,1,5,1,1,1,1,1,3,5
"87",252875,2,3,4,1,1,5,1,1,1,2,1,2,3
"88",252877,3,2,4,1,1,4,1,1,1,1,1,3,5
"89",252881,1,1,5,1,2,5,4,1,3,2,1,4,2
"90",252883,2,2,3,2,1,2,2,1,4,5,1,1,2
"91",252886,3,3,3,1,1,5,2,1,5,5,2,3,3
"92",252889,2,4,3,1,1,5,1,1,5,2,1,4,2
"93",252890,1,1,5,1,1,5,1,1,4,1,1,2,2
"94",252896,2,1,5,1,1,4,1,1,1,1,1,4,5
"95",252900,1,2,5,2,2,5,1,1,2,1,1,3,2
"96",252901,5,2,2,1,1,2,1,1,2,5,1,2,2
"97",252906,2,2,5,1,2,3,2,2,5,2,2,4,2
"98",252912,2,1,6,1,1,5,2,1,5,1,2,5,2
"99",252924,3,2,4,2,1,5,2,2,4,2,1,4,2
"100",252926,4,1,5,1,1,5,1,1,5,4,1,3,2
"101",252930,1,1,6,1,1,5,2,1,6,1,2,4,2
"102",252940,1,2,5,1,1,5,1,1,3,4,1,1,2
"103",252946,1,2,5,1,1,5,1,1,2,1,2,2,2
"104",252949,1,1,5,1,1,4,1,1,4,1,1,4,2
"105",252953,1,2,1,1,1,2,1,1,1,1,2,2,4
"106",252956,1,1,4,1,1,4,1,1,1,1,2,2,4
"107",252959,2,1,5,2,2,4,1,1,2,2,5,5,2
"108",252962,1,1,4,1,1,4,1,1,1,1,1,4,5
"109",252970,2,1,5,1,1,4,5,1,4,1,2,1,2
"110",252973,1,1,6,1,1,5,1,1,5,1,4,2,2
"111",252974,4,1,5,2,2,5,2,1,6,4,5,5,2
"112",252976,1,2,5,1,1,1,1,1,4,1,1,1,5
"113",252978,1,1,6,1,1,5,4,1,4,1,1,4,2
"114",252980,1,4,4,1,1,4,1,1,2,1,1,4,2
"115",252981,5,1,6,1,1,6,2,1,5,2,2,5,2
"116",252984,1,2,4,1,1,4,2,4,3,2,1,2,2
"118",252986,3,3,4,2,1,4,1,4,3,1,2,4,2
"119",252987,1,1,6,1,1,4,1,1,5,1,1,1,3
"120",252989,2,1,2,1,1,2,2,1,2,1,1,1,3
"121",252990,4,2,4,2,5,4,4,3,3,4,3,3,2
"122",252992,2,2,5,1,1,4,4,1,2,2,1,4,2
"123",252993,1,1,4,1,1,5,1,1,1,1,1,1,6
"124",252994,2,2,5,1,1,5,1,1,4,1,1,4,2
"125",252996,2,5,6,1,5,5,2,1,4,1,1,5,2
"126",253002,1,2,4,2,2,4,2,1,3,2,1,2,2
"127",253006,4,3,6,1,1,5,2,1,4,2,1,5,2
"128",253010,2,4,6,1,1,6,5,1,4,1,5,4,2
"130",253014,1,1,6,1,1,6,1,1,2,1,2,4,2
"131",253015,1,1,6,1,1,6,2,1,1,1,4,2,3
"132",253019,3,3,5,2,1,4,2,1,2,3,1,4,2
"133",253021,2,4,6,1,1,6,2,1,3,2,1,2,2
"134",253025,1,1,5,1,1,4,2,1,1,1,1,4,4
"135",253030,1,2,5,1,1,2,1,1,2,1,2,2,2
"136",253031,2,2,5,1,1,5,4,1,5,2,1,3,2
"137",253035,2,3,4,1,1,3,1,1,1,1,1,4,5
"138",253036,5,2,5,2,2,4,3,1,5,3,2,3,2
